#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr20_GL383577v2_alt	1	128386	1165	13942	10.8594	1.34674	255	12.4
chr20_KI270869v1_alt	1	118774	1953	18494	15.5707	2.35062	255	16.7
chr20_KI270871v1_alt	1	58661	1352	9965	16.9874	3.12676	255	25.2
chr20_KI270870v1_alt	1	183433	1320	14913	8.12994	0.987162	255	11.5
chr21_GL383578v2_alt	1	63917	3059	17794	27.8392	7.13508	255	45.9
chr21_KI270874v1_alt	1	166743	420	5381	3.22712	0.359086	255	9.84
chr21_KI270873v1_alt	1	143900	1111	6624	4.6032	1.11761	255	50.1
chr21_GL383579v2_alt	1	201197	1028	11887	5.90814	0.619393	255	9.86
chr21_GL383580v2_alt	1	74653	2850	7874	10.5475	3.08897	255	14.3
chr21_GL383581v2_alt	1	116689	2770	16390	14.0459	3.50984	255	49.1
chr21_KI270872v1_alt	1	82692	1247	8810	10.654	2.05819	255	14
chr22_KI270875v1_alt	1	259914	3670	29272	11.2622	2.06858	255	36.5
chr22_KI270878v1_alt	1	186262	7905	43179	23.1819	6.28791	255	44.5
chr22_KI270879v1_alt	1	304135	12818	59372	19.5216	6.26946	255	51.4
chr22_KI270876v1_alt	1	263666	2128	13897	5.27068	1.19805	255	42.1
chr22_KI270877v1_alt	1	101331	1406	9818	9.68904	2.06196	255	37.8
chr22_GL383583v2_alt	1	96924	338	3545	3.6575	0.511793	255	9.48
chr22_GL383582v2_alt	1	162811	1086	11133	6.83799	0.929366	255	8.59
chrX_KI270880v1_alt	1	284869	2211	17406	6.11018	1.04976	255	13.5
chrX_KI270881v1_alt	1	144206	2641	34151	23.6821	2.73948	255	31.3
chr19_KI270882v1_alt	1	248807	171	15530	6.24179	0.101143	255	0
chr19_KI270883v1_alt	1	170399	588	32818	19.2595	0.509704	255	0.0136
chr19_KI270884v1_alt	1	157053	158	11505	7.32555	0.146084	255	0.108
chr19_KI270885v1_alt	1	171027	81	8181	4.78346	0.0689833	255	0
chr19_KI270886v1_alt	1	204239	176	15250	7.46674	0.127008	255	0.0909
chr19_KI270887v1_alt	1	209512	134	10008	4.77681	0.0895748	255	0.0149
chr19_KI270888v1_alt	1	155532	222	16546	10.6383	0.210715	255	0.27
chr19_KI270889v1_alt	1	170698	64	5764	3.37672	0.0561284	255	0
chr19_KI270890v1_alt	1	184499	64	6825	3.69921	0.0507374	255	0
chr19_KI270891v1_alt	1	170680	116	11581	6.78521	0.101769	255	0
chr1_KI270892v1_alt	1	162212	552	3125	1.92649	0.442501	255	4.6
chr2_KI270894v1_alt	1	214158	13780	73803	34.4619	8.84832	255	16.2
chr2_KI270893v1_alt	1	161218	605	9604	5.95715	0.492749	255	3.54
chr3_KI270895v1_alt	1	162896	1757	24637	15.1244	1.54065	255	2.86
chr4_KI270896v1_alt	1	378547	2454	25914	6.84565	0.935694	255	9.02
chr5_KI270897v1_alt	1	1144418	9829	141162	12.3348	1.25158	255	2.41
chr5_KI270898v1_alt	1	130957	937	14572	11.1273	1.00945	255	5.61
chr6_GL000251v2_alt	1	4795265	66220	1194075	24.9011	1.94794	255	5.84
chr7_KI270899v1_alt	1	190869	1459	9366	4.90703	1.08022	255	8.25
chr8_KI270901v1_alt	1	136959	2340	19604	14.3138	2.46885	255	16.7
chr8_KI270900v1_alt	1	318687	3275	39947	12.5349	1.47111	255	12.9
chr11_KI270902v1_alt	1	106711	1621	11151	10.4497	2.2321	255	16.6
chr11_KI270903v1_alt	1	214625	3320	35973	16.7609	2.23516	255	11.3
chr12_KI270904v1_alt	1	572349	2659	48690	8.50705	0.685954	255	14.7
chr15_KI270906v1_alt	1	196384	427	8178	4.16429	0.273434	255	5.84
chr15_KI270905v1_alt	1	5161414	75094	857033	16.6046	2.14034	255	10.9
chr17_KI270907v1_alt	1	137721	1776	9630	6.9924	1.71651	255	23.3
chr17_KI270910v1_alt	1	157099	1018	14013	8.91985	0.935098	255	1.39
chr17_KI270909v1_alt	1	325800	1935	38618	11.8533	0.882741	255	4.74
chr17_JH159148v1_alt	1	88070	704	6946	7.88691	1.18892	255	9.85
chr17_KI270908v1_alt	1	1423190	11507	161128	11.3216	1.08524	255	5.14
chr18_KI270912v1_alt	1	174061	113	2501	1.43685	0.0909739	255	7.85
chr18_KI270911v1_alt	1	157710	1706	16844	10.6804	1.49673	255	3.99
chr19_GL949747v2_alt	1	729520	2569	87739	12.0269	0.516046	255	1.28
chr22_KB663609v1_alt	1	74013	393	7851	10.6076	0.784997	255	3.83
chrX_KI270913v1_alt	1	274009	917	13152	4.79984	0.484823	255	13.2
chr19_KI270914v1_alt	1	205194	652	37551	18.3002	0.470331	255	0.0046
chr19_KI270915v1_alt	1	170665	131	12051	7.0612	0.113251	255	0
chr19_KI270916v1_alt	1	184516	168	14014	7.59501	0.135213	255	0
chr19_KI270917v1_alt	1	190932	102	9772	5.11805	0.0786353	255	0.0098
chr19_KI270918v1_alt	1	123111	96	8155	6.6241	0.115172	255	0
chr19_KI270919v1_alt	1	170701	27	2238	1.31106	0.0236905	255	0
chr19_KI270920v1_alt	1	198005	874	33718	17.0289	0.644999	255	0.161
chr19_KI270921v1_alt	1	282224	330	22566	7.99578	0.172703	255	0
chr19_KI270922v1_alt	1	187935	126	9972	5.30609	0.100205	255	0.5
chr19_KI270923v1_alt	1	189352	260	10905	5.75912	0.20154	255	1.96
chr3_KI270924v1_alt	1	166540	1922	20744	12.4559	1.64385	255	10.4
chr4_KI270925v1_alt	1	555799	10376	93614	16.8431	2.70335	255	13.2
chr6_GL000252v2_alt	1	4604811	27689	768560	16.6904	0.875511	255	3.6
chr8_KI270926v1_alt	1	229282	2303	26348	11.4915	1.48163	255	8.52
chr11_KI270927v1_alt	1	218612	4756	38019	17.3911	3.17508	255	12.4
chr19_GL949748v2_alt	1	1064304	718	45047	4.23253	0.0990215	255	0
chr22_KI270928v1_alt	1	176103	2069	15775	8.95783	1.75349	255	11.6
chr19_KI270929v1_alt	1	186203	367	15906	8.54229	0.276043	255	0.109
chr19_KI270930v1_alt	1	200773	257	16695	8.31536	0.18747	255	0
chr19_KI270931v1_alt	1	170148	163	11749	6.90516	0.142993	255	0
chr19_KI270932v1_alt	1	215732	560	31121	14.4258	0.384649	255	0
chr19_KI270933v1_alt	1	170537	825	30656	17.9762	0.717469	255	0.0291
chr19_GL000209v2_alt	1	177381	169	14602	8.232	0.14156	255	0
chr3_KI270934v1_alt	1	163458	1357	22574	13.8103	1.15494	255	0.483
chr6_GL000253v2_alt	1	4677643	72388	665611	14.2296	1.37398	255	7.15
chr19_GL949749v2_alt	1	1091841	832	52037	4.76599	0.111474	255	0.0192
chr3_KI270935v1_alt	1	197351	869	16495	8.3582	0.622363	255	4.54
chr6_GL000254v2_alt	1	4827813	34354	870923	18.0397	1.05252	255	2.77
chr19_GL949750v2_alt	1	1066390	899	53125	4.98176	0.124337	255	0.0634
chr3_KI270936v1_alt	1	164170	1218	20879	12.7179	1.02317	255	1.76
chr6_GL000255v2_alt	1	4606388	29395	819217	17.7844	0.930925	255	1.97
chr19_GL949751v2_alt	1	1002683	796	51016	5.08795	0.116424	255	0
chr3_KI270937v1_alt	1	165607	1320	18175	10.9748	1.10119	255	3.66
chr6_GL000256v2_alt	1	4929269	28536	808535	16.4027	0.840277	255	4.05
chr19_GL949752v1_alt	1	987100	8429	170490	17.2718	1.23577	255	4.76
chr6_KI270758v1_alt	1	76752	2578	29049	37.8479	4.88041	255	34
chr19_GL949753v2_alt	1	796479	2653	95341	11.9703	0.487621	255	0.9
chr19_KI270938v1_alt	1	1066800	9121	204339	19.1544	1.26076	255	3.13
chrEBV	1	171823	3891989	160822	93.5975	3304.95	255	45
chrUn_KN707606v1_decoy	1	2200	248	2200	100	16.5164	255	58.6
chrUn_KN707607v1_decoy	1	3033	2857	3033	100	140.904	255	44.9
chrUn_KN707608v1_decoy	1	3112	2898	3112	100	139.166	255	49.1
chrUn_KN707609v1_decoy	1	1642	1341	1642	100	122.167	255	48.1
chrUn_KN707610v1_decoy	1	1393	1204	1393	100	127.788	255	44.1
chrUn_KN707611v1_decoy	1	1103	983	1103	100	132.629	255	50
chrUn_KN707612v1_decoy	1	1039	854	1039	100	122.177	255	46.8
chrUn_KN707613v1_decoy	1	1619	1441	1619	100	133.011	255	50.1
chrUn_KN707614v1_decoy	1	3122	384	3122	100	18.304	255	53.9
chrUn_KN707615v1_decoy	1	1934	203	1934	100	14.6065	255	59.1
chrUn_KN707616v1_decoy	1	3111	681	3111	100	31.5201	255	57.4
chrUn_KN707617v1_decoy	1	2545	272	2545	100	14.9701	255	44.8
chrUn_KN707618v1_decoy	1	2295	39	857	37.342	2.28671	255	5.79
chrUn_KN707619v1_decoy	1	1551	62	1419	91.4894	5.11476	255	2.85
chrUn_KN707620v1_decoy	1	2046	74	82	4.00782	1.45846	255	3.19
chrUn_KN707622v1_decoy	1	1535	3	238	15.5049	0.155049	255	11
chrUn_KN707623v1_decoy	1	3784	801	3784	100	30.5494	255	58.6
chrUn_KN707624v1_decoy	1	1329	18	36	2.7088	0.463506	255	2.28
chrUn_KN707625v1_decoy	1	1238	134	1238	100	16.1179	255	51.9
chrUn_KN707626v1_decoy	1	5623	9462	5321	94.6292	240.813	255	12
chrUn_KN707627v1_decoy	1	5821	624	5801	99.6564	15.8964	255	59.9
chrUn_KN707628v1_decoy	1	2960	319	2960	100	13.0105	255	46.2
chrUn_KN707629v1_decoy	1	1848	370	1847	99.9459	29.026	255	15
chrUn_KN707630v1_decoy	1	2315	654	2315	100	40.7948	255	11.8
chrUn_KN707631v1_decoy	1	1945	801	1945	100	58.0452	255	22.9
chrUn_KN707632v1_decoy	1	1424	313	1424	100	21.4726	255	3.84
chrUn_KN707633v1_decoy	1	1274	186	1254	98.4301	18.7221	255	5.25
chrUn_KN707635v1_decoy	1	1414	370	1373	97.1004	38.4859	255	23.8
chrUn_KN707636v1_decoy	1	1725	1121	1725	100	96.8261	255	46.3
chrUn_KN707637v1_decoy	1	5354	2727	5354	100	75.2249	255	54.7
chrUn_KN707638v1_decoy	1	2189	1350	2189	100	91.2088	255	55.4
chrUn_KN707639v1_decoy	1	1294	826	1294	100	95.0904	255	50.7
chrUn_KN707640v1_decoy	1	1831	713	1830	99.9454	57.8143	255	23.8
chrUn_KN707641v1_decoy	1	1647	1145	1647	100	102.93	255	46.4
chrUn_KN707642v1_decoy	1	2943	1939	2943	100	98.1692	255	44.6
chrUn_KN707643v1_decoy	1	2857	1983	2856	99.965	103.55	255	47.3
chrUn_KN707644v1_decoy	1	1030	607	1030	100	87.8718	255	40.3
chrUn_KN707645v1_decoy	1	1070	754	1070	100	104.415	255	48.3
chrUn_KN707646v1_decoy	1	1735	1050	1735	100	88.9545	255	48.5
chrUn_KN707647v1_decoy	1	1982	1432	1982	100	107.415	255	49.1
chrUn_KN707648v1_decoy	1	1564	977	1564	100	92.6726	255	38.1
chrUn_KN707649v1_decoy	1	1775	1157	1775	100	95.809	255	43
chrUn_KN707650v1_decoy	1	1540	1022	1540	100	99.2312	255	43.5
chrUn_KN707651v1_decoy	1	2013	1418	2013	100	104.918	255	45.9
chrUn_KN707652v1_decoy	1	1176	743	1176	100	94.0799	255	53.2
chrUn_KN707653v1_decoy	1	1890	1320	1890	100	101.625	255	39.7
chrUn_KN707654v1_decoy	1	3644	282	2917	80.0494	11.1413	255	57.8
chrUn_KN707655v1_decoy	1	2785	579	2783	99.9282	30.2158	255	48.6
chrUn_KN707656v1_decoy	1	1017	374	1017	100	54.4671	255	51.4
chrUn_KN707657v1_decoy	1	1068	379	1068	100	52.8427	255	49.1
chrUn_KN707658v1_decoy	1	1007	412	957	95.0348	58.8689	255	27.2
chrUn_KN707659v1_decoy	1	2605	7911	2590	99.4242	319.106	255	20.5
chrUn_KN707660v1_decoy	1	8410	29850	8251	98.1094	361.894	255	15
chrUn_KN707661v1_decoy	1	5534	23901	5448	98.446	469.94	255	5.14
chrUn_KN707662v1_decoy	1	2173	2194	2173	100	149.423	255	43.5
chrUn_KN707663v1_decoy	1	1065	152	1065	100	12.2451	255	21.3
chrUn_KN707664v1_decoy	1	8683	2226	8683	100	35.1162	255	47.7
chrUn_KN707665v1_decoy	1	2670	641	2670	100	33.6835	255	44.3
chrUn_KN707666v1_decoy	1	2420	613	2420	100	33.9281	255	46.8
chrUn_KN707667v1_decoy	1	2189	407	2189	100	26.6103	255	41.7
chrUn_KN707668v1_decoy	1	2093	1257	2093	100	85.0946	255	43
chrUn_KN707669v1_decoy	1	1184	357	1184	100	32.9265	255	21.8
chrUn_KN707670v1_decoy	1	1205	1156	1205	100	129.604	255	7.43
chrUn_KN707671v1_decoy	1	2786	648	2786	100	31.3051	255	54.3
chrUn_KN707672v1_decoy	1	2794	685	2794	100	36.0029	255	59.1
chrUn_KN707673v1_decoy	1	19544	4409	19544	100	33.2393	255	59.6
chrUn_KN707674v1_decoy	1	2848	181	2828	99.2978	9.37605	255	39.3
chrUn_KN707675v1_decoy	1	10556	1063	10554	99.9811	14.8982	255	59.8
chrUn_KN707676v1_decoy	1	9066	2057	9066	100	33.6437	255	59.9
chrUn_KN707677v1_decoy	1	7267	1510	7267	100	30.8653	255	59.6
chrUn_KN707678v1_decoy	1	2462	498	2462	100	27.1129	255	53.4
chrUn_KN707679v1_decoy	1	1774	402	1703	95.9977	28.6437	255	35.1
chrUn_KN707680v1_decoy	1	1297	79	723	55.744	6.87047	255	8.37
chrUn_KN707682v1_decoy	1	4208	692	4208	100	24.2241	255	55.6
chrUn_KN707683v1_decoy	1	4068	11	58	1.42576	0.103245	255	7.45
chrUn_KN707684v1_decoy	1	2940	1	30	1.02041	0.0102041	255	0
chrUn_KN707685v1_decoy	1	3938	823	3938	100	30.6694	255	59.6
chrUn_KN707686v1_decoy	1	2072	2423	2072	100	172.663	255	48.5
chrUn_KN707687v1_decoy	1	1136	1114	1136	100	146.421	255	45.7
chrUn_KN707688v1_decoy	1	4248	9	169	3.97834	0.110405	255	1.89
chrUn_KN707689v1_decoy	1	5823	1	33	0.566718	0.00566718	255	10
chrUn_KN707690v1_decoy	1	3715	743	3715	100	29.639	255	59.7
chrUn_KN707691v1_decoy	1	4885	1069	4885	100	32.3099	255	59.8
chrUn_KN707693v1_decoy	1	2899	593	2899	100	29.5861	255	59.8
chrUn_KN707694v1_decoy	1	1228	361	1228	100	43.7541	255	2.21
chrUn_KN707695v1_decoy	1	3119	694	3119	100	32.8794	255	58.7
chrUn_KN707696v1_decoy	1	3828	399	3828	100	14.9914	255	57.2
chrUn_KN707697v1_decoy	1	1186	213	1075	90.6408	21.3035	255	8.78
chrUn_KN707699v1_decoy	1	2795	298	2795	100	15.5839	255	58.6
chrUn_KN707702v1_decoy	1	6466	729	6466	100	16.5753	255	59.4
chrUn_KN707703v1_decoy	1	2235	227	2235	100	14.7754	255	57.3
chrUn_KN707704v1_decoy	1	2871	542	2871	100	19.984	255	10.4
chrUn_KN707705v1_decoy	1	4632	1	100	2.15889	0.0215889	255	0
chrUn_KN707706v1_decoy	1	4225	1	40	0.946746	0.00946746	255	19
chrUn_KN707708v1_decoy	1	2305	510	2305	100	32.351	255	58.8
chrUn_KN707709v1_decoy	1	3273	830	3228	98.6251	27.0293	255	18.8
chrUn_KN707710v1_decoy	1	5701	1084	5699	99.9649	28.2236	255	59
chrUn_KN707711v1_decoy	1	4154	6	34	0.818488	0.0452576	255	3.17
chrUn_KN707712v1_decoy	1	1243	33	689	55.4304	2.95334	255	5.58
chrUn_KN707713v1_decoy	1	1308	167	1308	100	18.3303	255	58.3
chrUn_KN707714v1_decoy	1	2922	315	2920	99.9316	15.9511	255	59.4
chrUn_KN707715v1_decoy	1	3044	672	3044	100	30.4928	255	55.9
chrUn_KN707716v1_decoy	1	2888	536	2888	100	27.3203	255	56.3
chrUn_KN707717v1_decoy	1	1742	354	1742	100	30.3898	255	59.5
chrUn_KN707719v1_decoy	1	3270	9	654	20	0.282875	255	2.44
chrUn_KN707720v1_decoy	1	6028	1342	6028	100	31.5811	255	56.7
chrUn_KN707721v1_decoy	1	1105	117	1105	100	14.8525	255	51.5
chrUn_KN707723v1_decoy	1	1124	51	949	84.4306	4.25445	255	5.22
chrUn_KN707725v1_decoy	1	2565	2	95	3.7037	0.037037	255	0
chrUn_KN707726v1_decoy	1	2149	11	163	7.58492	0.25221	255	0.727
chrUn_KN707727v1_decoy	1	2630	81	2040	77.5665	3.13688	255	2.48
chrUn_KN707731v1_decoy	1	4820	569	4820	100	17.2776	255	57.8
chrUn_KN707732v1_decoy	1	1227	100	1213	98.859	9.02852	255	19
chrUn_KN707733v1_decoy	1	7503	1681	7503	100	33.1833	255	59.6
chrUn_KN707734v1_decoy	1	9652	953	9652	100	14.1524	255	56.5
chrUn_KN707735v1_decoy	1	1091	665	729	66.8194	49.2621	255	5.8
chrUn_KN707736v1_decoy	1	2467	465	2466	99.9595	27.8901	255	59.4
chrUn_KN707737v1_decoy	1	1270	232	1270	100	24.6433	255	54.3
chrUn_KN707738v1_decoy	1	4365	975	4365	100	32.8907	255	58.9
chrUn_KN707739v1_decoy	1	4284	898	4284	100	30.8581	255	59.8
chrUn_KN707740v1_decoy	1	10282	1795	10090	98.1327	25.8831	255	55.1
chrUn_KN707741v1_decoy	1	5601	1083	5601	100	28.6633	255	59.7
chrUn_KN707742v1_decoy	1	4758	539	4758	100	16.4842	255	59.7
chrUn_KN707743v1_decoy	1	1624	365	1624	100	32.5677	255	58.6
chrUn_KN707744v1_decoy	1	4024	3	33	0.82008	0.0246024	255	3
chrUn_KN707745v1_decoy	1	1276	5	174	13.6364	0.179467	255	11
chrUn_KN707746v1_decoy	1	5083	508	5083	100	14.8515	255	59.1
chrUn_KN707747v1_decoy	1	2075	454	2075	100	29.8299	255	15.9
chrUn_KN707748v1_decoy	1	3553	291	3553	100	11.7686	255	59.6
chrUn_KN707749v1_decoy	1	7010	1275	7010	100	27.1267	255	59.6
chrUn_KN707750v1_decoy	1	4718	1069	4695	99.5125	33.3436	255	58.6
chrUn_KN707751v1_decoy	1	3546	270	3125	88.1275	10.3531	255	21
chrUn_KN707752v1_decoy	1	2873	194	2800	97.4591	10.0609	255	38.7
chrUn_KN707753v1_decoy	1	2144	465	2144	100	30.5886	255	59.2
chrUn_KN707754v1_decoy	1	2243	187	2243	100	11.8819	255	59.7
chrUn_KN707755v1_decoy	1	5343	1134	5343	100	31.3945	255	59.3
chrUn_KN707756v1_decoy	1	4877	1107	4877	100	33.2116	255	60
chrUn_KN707757v1_decoy	1	3034	379	3034	100	17.7241	255	58.5
chrUn_KN707760v1_decoy	1	1169	1	147	12.5749	0.125749	255	0
chrUn_KN707761v1_decoy	1	2319	2	66	2.84605	0.0534713	255	0
chrUn_KN707762v1_decoy	1	3450	468	3424	99.2464	19.467	255	28
chrUn_KN707763v1_decoy	1	2674	583	2673	99.9626	31.9346	255	58.3
chrUn_KN707764v1_decoy	1	3912	831	3912	100	31.2635	255	59.1
chrUn_KN707765v1_decoy	1	6020	1279	6020	100	31.1748	255	58.8
chrUn_KN707766v1_decoy	1	2303	522	2303	100	32.3474	255	58.7
chrUn_KN707767v1_decoy	1	2552	575	2552	100	32.2958	255	59.3
chrUn_KN707768v1_decoy	1	3656	364	3656	100	14.8485	255	57
chrUn_KN707769v1_decoy	1	1591	37	751	47.203	1.91326	255	3.05
chrUn_KN707770v1_decoy	1	1209	135	1119	92.5558	9.93548	255	7.49
chrUn_KN707771v1_decoy	1	3176	652	3176	100	29.7245	255	59
chrUn_KN707772v1_decoy	1	8915	1	45	0.504767	0.00504767	255	20
chrUn_KN707773v1_decoy	1	4902	545	4902	100	16.3517	255	58.8
chrUn_KN707774v1_decoy	1	3324	626	3316	99.7593	25.019	255	23.5
chrUn_KN707775v1_decoy	1	5997	1506	5997	100	36.9778	255	59.5
chrUn_KN707777v1_decoy	1	10311	4	72	0.698283	0.0129958	255	0
chrUn_KN707779v1_decoy	1	12444	1	37	0.297332	0.00297332	255	0
chrUn_KN707780v1_decoy	1	5691	565	5691	100	14.5298	255	59.8
chrUn_KN707781v1_decoy	1	2717	647	2717	100	34.5904	255	59.6
chrUn_KN707782v1_decoy	1	5277	1065	5277	100	29.8713	255	59.9
chrUn_KN707783v1_decoy	1	4373	1002	4373	100	33.8376	255	59.7
chrUn_KN707784v1_decoy	1	3224	706	3224	100	31.6836	255	59.2
chrUn_KN707786v1_decoy	1	5385	16	180	3.34262	0.121263	255	3.81
chrUn_KN707787v1_decoy	1	3678	781	3678	100	30.991	255	60
chrUn_KN707788v1_decoy	1	1412	241	1412	100	15.3017	255	47
chrUn_KN707789v1_decoy	1	1443	160	1443	100	16.4997	255	54.6
chrUn_KN707790v1_decoy	1	1098	106	1098	100	14.3415	255	56.8
chrUn_KN707791v1_decoy	1	3240	335	3240	100	15.3367	255	59.1
chrUn_KN707792v1_decoy	1	1915	431	1915	100	31.6178	255	58.2
chrUn_KN707793v1_decoy	1	4667	298	4570	97.9216	9.53032	255	18.7
chrUn_KN707797v1_decoy	1	4243	934	4243	100	32.695	255	59.2
chrUn_KN707798v1_decoy	1	17599	18591	17486	99.3579	147.852	255	0.596
chrUn_KN707800v1_decoy	1	2237	249	2237	100	16.5843	255	57.8
chrUn_KN707801v1_decoy	1	2901	332	2901	100	16.8449	255	59
chrUn_KN707802v1_decoy	1	2666	546	2666	100	29.8998	255	58.7
chrUn_KN707803v1_decoy	1	5336	844	5109	95.7459	23.5086	255	53.4
chrUn_KN707804v1_decoy	1	4383	458	4383	100	15.5252	255	59.7
chrUn_KN707805v1_decoy	1	5446	999	5446	100	27.4383	255	55.7
chrUn_KN707806v1_decoy	1	6252	3	58	0.927703	0.0230326	255	11
chrUn_KN707807v1_decoy	1	4616	1107	4615	99.9783	34.0087	255	53.5
chrUn_KN707808v1_decoy	1	3021	634	3021	100	30.8745	255	59.3
chrUn_KN707809v1_decoy	1	3667	774	3666	99.9727	27.6921	255	36.6
chrUn_KN707810v1_decoy	1	4563	486	4563	100	15.6274	255	59.7
chrUn_KN707811v1_decoy	1	1120	254	1117	99.7321	30.5598	255	31.4
chrUn_KN707812v1_decoy	1	3845	1	50	1.30039	0.0130039	255	0
chrUn_KN707813v1_decoy	1	2272	1	37	1.62852	0.0162852	255	5
chrUn_KN707816v1_decoy	1	7150	1	32	0.447552	0.00447552	255	0
chrUn_KN707818v1_decoy	1	1207	102	1130	93.6205	6.99834	255	9.51
chrUn_KN707819v1_decoy	1	1331	598	1331	100	63.3366	255	55.7
chrUn_KN707820v1_decoy	1	8307	1621	8307	100	28.9274	255	59.9
chrUn_KN707821v1_decoy	1	2276	483	2276	100	31.1591	255	59.7
chrUn_KN707822v1_decoy	1	2575	529	2575	100	29.508	255	58.6
chrUn_KN707824v1_decoy	1	1352	1	92	6.80473	0.0680473	255	0
chrUn_KN707825v1_decoy	1	3040	353	2625	86.3487	15.8066	255	1.8
chrUn_KN707826v1_decoy	1	2070	361	2012	97.1981	23.4425	255	7.87
chrUn_KN707827v1_decoy	1	2913	539	2913	100	27.5822	255	50.2
chrUn_KN707828v1_decoy	1	2389	67469	2389	100	4155.55	255	36.2
chrUn_KN707829v1_decoy	1	1835	7	70	3.81471	0.126431	255	4.43
chrUn_KN707830v1_decoy	1	4807	1	37	0.769711	0.00769711	255	0
chrUn_KN707831v1_decoy	1	2201	186	2200	99.9546	12.562	255	51.5
chrUn_KN707832v1_decoy	1	1265	106	1265	100	12.4095	255	54.6
chrUn_KN707833v1_decoy	1	1961	358	1957	99.796	26.7578	255	59.7
chrUn_KN707834v1_decoy	1	1064	281	1063	99.906	39.1382	255	47.3
chrUn_KN707835v1_decoy	1	1932	374	1932	100	28.3318	255	53.1
chrUn_KN707837v1_decoy	1	1178	123	1178	100	14.4949	255	59.6
chrUn_KN707838v1_decoy	1	2926	186	2718	92.8913	8.9689	255	30.9
chrUn_KN707839v1_decoy	1	1038	109	1013	97.5915	13.1069	255	0.404
chrUn_KN707840v1_decoy	1	3298	736	3298	100	32.1313	255	59.7
chrUn_KN707841v1_decoy	1	8992	779	8992	100	12.8277	255	60
chrUn_KN707842v1_decoy	1	6698	709	6698	100	15.7805	255	59.4
chrUn_KN707843v1_decoy	1	4880	4	124	2.54098	0.0315574	255	4.25
chrUn_KN707844v1_decoy	1	1766	188	1766	100	14.7995	255	57.5
chrUn_KN707845v1_decoy	1	3532	853	3532	100	35.4304	255	59.1
chrUn_KN707846v1_decoy	1	2297	399	2266	98.6504	24.0888	255	3.78
chrUn_KN707848v1_decoy	1	1205	591	1178	97.7593	62.3585	255	8.43
chrUn_KN707849v1_decoy	1	2790	660	2790	100	29.0444	255	2.2
chrUn_KN707850v1_decoy	1	2006	406	1980	98.7039	18.8943	255	51.3
chrUn_KN707851v1_decoy	1	4593	526	4593	100	16.7019	255	58.6
chrUn_KN707852v1_decoy	1	1579	192	1579	100	13.3711	255	9.34
chrUn_KN707853v1_decoy	1	9597	2132	9596	99.9896	32.8929	255	59.2
chrUn_KN707854v1_decoy	1	10451	1002	10451	100	14.2698	255	54.7
chrUn_KN707855v1_decoy	1	3219	288	3121	96.9556	13.1149	255	56
chrUn_KN707856v1_decoy	1	2300	448	2300	100	28.6	255	58.4
chrUn_KN707857v1_decoy	1	5985	1304	5985	100	32.253	255	59.6
chrUn_KN707859v1_decoy	1	1340	116	1340	100	12.8231	255	53.1
chrUn_KN707860v1_decoy	1	3148	13997	3095	98.3164	491.432	255	9.79
chrUn_KN707861v1_decoy	1	2242	5518	2191	97.7252	217.226	255	6.45
chrUn_KN707862v1_decoy	1	16513	28952	15400	93.2599	169.868	255	6.13
chrUn_KN707863v1_decoy	1	7821	15818	7377	94.323	193.357	255	5.84
chrUn_KN707864v1_decoy	1	2159	993	2159	100	68.7642	255	40.1
chrUn_KN707865v1_decoy	1	2114	749	2114	100	51.5497	255	35.1
chrUn_KN707866v1_decoy	1	4109	2096	4109	100	75.6929	255	45.4
chrUn_KN707867v1_decoy	1	1544	632	1544	100	60.4475	255	44.7
chrUn_KN707868v1_decoy	1	1005	82	962	95.7214	6.92438	255	16.3
chrUn_KN707869v1_decoy	1	8632	1	66	0.764597	0.00764597	255	0
chrUn_KN707870v1_decoy	1	1012	175	1012	100	25.8458	255	51.6
chrUn_KN707871v1_decoy	1	4728	1778	4728	100	55.9171	255	57.3
chrUn_KN707872v1_decoy	1	2165	762	2165	100	52.2032	255	57.8
chrUn_KN707873v1_decoy	1	7591	2115	7591	100	38.3249	255	37.6
chrUn_KN707874v1_decoy	1	5202	2096	5106	98.1546	56.7338	255	26.8
chrUn_KN707875v1_decoy	1	4241	2959	4233	99.8114	99.8555	255	18.8
chrUn_KN707876v1_decoy	1	4131	2189	4124	99.8305	73.2585	255	1.12
chrUn_KN707877v1_decoy	1	2272	3656	2260	99.4718	232.121	255	0.00739
chrUn_KN707878v1_decoy	1	2085	464	2080	99.7602	32.7894	255	35.6
chrUn_KN707879v1_decoy	1	4346	4989	4346	100	165.77	255	56.4
chrUn_KN707880v1_decoy	1	1208	61	574	47.5166	4.44205	255	14.2
chrUn_KN707881v1_decoy	1	4543	2780	4541	99.956	85.5173	255	3.88
chrUn_KN707882v1_decoy	1	2772	5307	2772	100	272.19	255	15
chrUn_KN707883v1_decoy	1	2490	1672	2490	100	85.3084	255	17.9
chrUn_KN707884v1_decoy	1	4568	7381	4557	99.7592	233.692	255	4.4
chrUn_KN707885v1_decoy	1	1776	1900	1776	100	155.876	255	54.5
chrUn_KN707886v1_decoy	1	2699	3014	2699	100	165.646	255	47.6
chrUn_KN707887v1_decoy	1	3534	3760	3534	100	157.988	255	54
chrUn_KN707888v1_decoy	1	2424	2514	2424	100	154.015	255	51.6
chrUn_KN707889v1_decoy	1	1747	1751	1747	100	148.058	255	47
